Cell_Name,SoH,SoH_Actual,Temp,SoC,Z_Real_1e+04_Hz,Z_Real_7943_Hz,Z_Real_6310_Hz,Z_Real_5012_Hz,Z_Real_3981_Hz,Z_Real_3162_Hz,Z_Real_2512_Hz,Z_Real_1995_Hz,Z_Real_1585_Hz,Z_Real_1259_Hz,Z_Real_1000_Hz,Z_Real_794.3_Hz,Z_Real_631_Hz,Z_Real_501.2_Hz,Z_Real_398.1_Hz,Z_Real_316.2_Hz,Z_Real_251.2_Hz,Z_Real_199.5_Hz,Z_Real_158.5_Hz,Z_Real_125.9_Hz,Z_Real_100_Hz,Z_Real_79.43_Hz,Z_Real_63.1_Hz,Z_Real_52_Hz,Z_Real_39.81_Hz,Z_Real_31.62_Hz,Z_Real_25.12_Hz,Z_Real_19.95_Hz,Z_Real_15.85_Hz,Z_Real_12.59_Hz,Z_Real_10_Hz,Z_Real_7.943_Hz,Z_Real_6.31_Hz,Z_Real_5.012_Hz,Z_Real_3.981_Hz,Z_Real_3.162_Hz,Z_Real_2.512_Hz,Z_Real_1.995_Hz,Z_Real_1.585_Hz,Z_Real_1.259_Hz,Z_Real_1_Hz,Z_Real_0.7943_Hz,Z_Real_0.631_Hz,Z_Real_0.5012_Hz,Z_Real_0.3981_Hz,Z_Real_0.3162_Hz,Z_Real_0.2512_Hz,Z_Real_0.1995_Hz,Z_Real_0.1585_Hz,Z_Real_0.1259_Hz,Z_Real_0.1_Hz,Z_Real_0.07943_Hz,Z_Real_0.0631_Hz,Z_Real_0.05012_Hz,Z_Real_0.03981_Hz,Z_Real_0.03162_Hz,Z_Real_0.02512_Hz,Z_Real_0.01995_Hz,Z_Real_0.01585_Hz,Z_Real_0.01259_Hz,Z_Real_0.01_Hz,Z_Imag_1e+04_Hz,Z_Imag_7943_Hz,Z_Imag_6310_Hz,Z_Imag_5012_Hz,Z_Imag_3981_Hz,Z_Imag_3162_Hz,Z_Imag_2512_Hz,Z_Imag_1995_Hz,Z_Imag_1585_Hz,Z_Imag_1259_Hz,Z_Imag_1000_Hz,Z_Imag_794.3_Hz,Z_Imag_631_Hz,Z_Imag_501.2_Hz,Z_Imag_398.1_Hz,Z_Imag_316.2_Hz,Z_Imag_251.2_Hz,Z_Imag_199.5_Hz,Z_Imag_158.5_Hz,Z_Imag_125.9_Hz,Z_Imag_100_Hz,Z_Imag_79.43_Hz,Z_Imag_63.1_Hz,Z_Imag_52_Hz,Z_Imag_39.81_Hz,Z_Imag_31.62_Hz,Z_Imag_25.12_Hz,Z_Imag_19.95_Hz,Z_Imag_15.85_Hz,Z_Imag_12.59_Hz,Z_Imag_10_Hz,Z_Imag_7.943_Hz,Z_Imag_6.31_Hz,Z_Imag_5.012_Hz,Z_Imag_3.981_Hz,Z_Imag_3.162_Hz,Z_Imag_2.512_Hz,Z_Imag_1.995_Hz,Z_Imag_1.585_Hz,Z_Imag_1.259_Hz,Z_Imag_1_Hz,Z_Imag_0.7943_Hz,Z_Imag_0.631_Hz,Z_Imag_0.5012_Hz,Z_Imag_0.3981_Hz,Z_Imag_0.3162_Hz,Z_Imag_0.2512_Hz,Z_Imag_0.1995_Hz,Z_Imag_0.1585_Hz,Z_Imag_0.1259_Hz,Z_Imag_0.1_Hz,Z_Imag_0.07943_Hz,Z_Imag_0.0631_Hz,Z_Imag_0.05012_Hz,Z_Imag_0.03981_Hz,Z_Imag_0.03162_Hz,Z_Imag_0.02512_Hz,Z_Imag_0.01995_Hz,Z_Imag_0.01585_Hz,Z_Imag_0.01259_Hz,Z_Imag_0.01_Hz
2,95,9505,15,5,0.02995,0.02827,0.02704,0.02599,0.02499,0.0248,0.02442,0.02387,0.02383,0.02394,0.02409,0.0243,0.02477,0.02509,0.0254,0.02571,0.02604,0.0264,0.02673,0.02709,0.02744,0.02786,0.02821,0.02847,0.02897,0.02931,0.02965,0.03001,0.03039,0.03073,0.03119,0.03154,0.03205,0.03257,0.03323,0.03402,0.03497,0.03611,0.03758,0.03923,0.04115,0.04319,0.04557,0.04803,0.0505,0.05286,0.05508,0.05712,0.05893,0.0605,0.06195,0.06327,0.06442,0.06565,0.06664,0.0678,0.0688,0.06994,0.07112,0.07219,0.07366,0.0316,0.02617,0.02143,0.01736,0.01377,0.01111,0.008638,0.006692,0.004985,0.003548,0.002355,0.00139,0.0004907,-0.0001177,-0.0005915,-0.0009894,-0.001316,-0.001578,-0.001794,-0.001977,-0.002134,-0.002297,-0.002399,-0.002487,-0.00263,-0.002761,-0.002903,-0.003123,-0.003299,-0.00362,-0.003873,-0.004359,-0.004856,-0.005428,-0.006176,-0.006995,-0.007916,-0.008948,-0.01001,-0.01097,-0.01194,-0.01289,-0.01346,-0.01376,-0.01374,-0.01348,-0.01309,-0.01263,-0.01205,-0.01158,-0.01116,-0.01092,-0.01082,-0.01093,-0.01129,-0.01185,-0.01274,-0.01386,-0.01552,-0.01763,-0.02007
2,95,9505,15,20,0.03001,0.02843,0.02716,0.02606,0.02506,0.02487,0.02451,0.02395,0.02392,0.02403,0.02418,0.0244,0.02486,0.02518,0.0255,0.02581,0.02615,0.02651,0.02684,0.02721,0.02758,0.02799,0.02839,0.02872,0.02916,0.02952,0.02989,0.0303,0.03066,0.03097,0.03145,0.03182,0.03229,0.03284,0.03343,0.0342,0.03513,0.03621,0.03751,0.03905,0.04094,0.04302,0.04534,0.04793,0.05059,0.05326,0.05589,0.05833,0.06058,0.06266,0.06453,0.06625,0.06788,0.06936,0.07075,0.07218,0.07345,0.07479,0.07625,0.07765,0.07916,0.0316,0.02613,0.02133,0.01735,0.01375,0.01107,0.008606,0.006677,0.004974,0.00351,0.002324,0.001361,0.0004563,-0.000149,-0.0006334,-0.001017,-0.001354,-0.001624,-0.001849,-0.002041,-0.002203,-0.002364,-0.002496,-0.002557,-0.002735,-0.002852,-0.00299,-0.003152,-0.003353,-0.003607,-0.003879,-0.004346,-0.004843,-0.005392,-0.006126,-0.006867,-0.007817,-0.00892,-0.009993,-0.0111,-0.01224,-0.01344,-0.01432,-0.0149,-0.01528,-0.01534,-0.01523,-0.01492,-0.01455,-0.01414,-0.01377,-0.01347,-0.01342,-0.01351,-0.01383,-0.0144,-0.01534,-0.01663,-0.01842,-0.0208,-0.02373
2,95,9505,15,50,0.02965,0.02803,0.02671,0.02562,0.02464,0.02443,0.02406,0.02349,0.02346,0.02355,0.02369,0.02391,0.02437,0.02466,0.02496,0.02524,0.02554,0.02585,0.02614,0.02645,0.02676,0.0271,0.02741,0.02765,0.02801,0.0283,0.02854,0.02886,0.02912,0.02942,0.02964,0.02981,0.03002,0.03018,0.03031,0.03043,0.03054,0.03057,0.03073,0.03079,0.03094,0.03103,0.03115,0.03126,0.03147,0.0316,0.03173,0.03188,0.03202,0.03214,0.03231,0.03251,0.0327,0.0329,0.03322,0.03344,0.03378,0.03412,0.03458,0.0351,0.03573,0.03169,0.02617,0.02145,0.01741,0.01381,0.01116,0.008692,0.006743,0.005063,0.003612,0.002472,0.001509,0.0006503,7.268e-05,-0.0003672,-0.000717,-0.0009925,-0.001216,-0.001375,-0.001497,-0.001588,-0.001673,-0.001701,-0.001701,-0.001757,-0.001739,-0.001704,-0.001684,-0.001614,-0.001567,-0.001409,-0.001326,-0.001236,-0.001159,-0.001067,-0.001004,-0.0009376,-0.0009188,-0.0009007,-0.0009162,-0.0009807,-0.001135,-0.001115,-0.001174,-0.001178,-0.00127,-0.001329,-0.001384,-0.001438,-0.001602,-0.001762,-0.001962,-0.002247,-0.002489,-0.002839,-0.003259,-0.003767,-0.00433,-0.004986,-0.005739,-0.006666
2,95,9505,15,70,0.0296,0.028,0.02668,0.02549,0.02456,0.02437,0.02399,0.02342,0.02338,0.02349,0.02362,0.02383,0.0243,0.02459,0.02488,0.02516,0.02545,0.02576,0.02604,0.02634,0.02664,0.02698,0.02728,0.02757,0.02784,0.02814,0.02845,0.02872,0.02898,0.02924,0.0296,0.02975,0.02996,0.03005,0.03026,0.03039,0.03047,0.03058,0.03074,0.03087,0.03092,0.03103,0.0312,0.0314,0.03159,0.03175,0.03206,0.03226,0.0325,0.03275,0.03303,0.0333,0.03366,0.034,0.0344,0.03485,0.03536,0.03584,0.0365,0.03722,0.03803,0.03163,0.02616,0.02143,0.01736,0.0138,0.01114,0.00868,0.006753,0.005052,0.003621,0.002452,0.001521,0.0006606,9.282e-05,-0.0003383,-0.0006837,-0.000965,-0.001179,-0.001344,-0.001467,-0.001557,-0.001642,-0.001707,-0.001742,-0.001772,-0.00178,-0.001756,-0.00172,-0.001712,-0.001594,-0.001529,-0.001429,-0.001308,-0.001152,-0.00115,-0.001085,-0.00106,-0.001045,-0.001069,-0.001133,-0.001172,-0.001363,-0.001467,-0.001527,-0.001625,-0.001791,-0.001896,-0.002062,-0.002256,-0.002451,-0.002646,-0.002942,-0.003205,-0.003669,-0.004079,-0.00464,-0.005202,-0.005916,-0.006736,-0.007741,-0.008845
2,95,9505,15,95,0.02958,0.02797,0.02667,0.02556,0.02457,0.02436,0.02398,0.02343,0.02339,0.0235,0.02365,0.02387,0.02434,0.02465,0.02495,0.02523,0.02553,0.02584,0.02612,0.02643,0.02672,0.02705,0.02736,0.02761,0.0279,0.0282,0.02849,0.02881,0.02915,0.02949,0.02992,0.03038,0.03087,0.03145,0.032,0.0326,0.0331,0.03356,0.034,0.03441,0.03468,0.0349,0.03518,0.0354,0.0357,0.03596,0.03621,0.03644,0.03672,0.037,0.03719,0.0375,0.03783,0.03814,0.03854,0.0389,0.03938,0.03986,0.04046,0.04106,0.04171,0.03157,0.02619,0.02141,0.01738,0.01379,0.01112,0.008654,0.006728,0.005006,0.003582,0.002403,0.001457,0.0005931,2.572e-05,-0.0004104,-0.0007628,-0.001032,-0.001262,-0.00143,-0.001568,-0.001675,-0.001788,-0.001875,-0.001893,-0.00204,-0.002118,-0.00223,-0.002348,-0.002467,-0.002625,-0.002775,-0.002932,-0.003059,-0.003106,-0.003129,-0.003091,-0.002926,-0.002789,-0.002648,-0.002526,-0.002357,-0.002379,-0.002268,-0.0022,-0.002129,-0.00217,-0.002127,-0.002194,-0.002226,-0.0023,-0.002519,-0.002642,-0.002837,-0.003103,-0.00337,-0.003754,-0.004113,-0.004542,-0.005049,-0.005576,-0.0062
2,95,9505,25,5,0.02972,0.02809,0.02673,0.02566,0.02459,0.02437,0.02397,0.02337,0.02328,0.02333,0.0234,0.02353,0.0239,0.0241,0.02428,0.02444,0.02462,0.02482,0.02499,0.02518,0.02537,0.0256,0.02578,0.02598,0.02613,0.02632,0.02645,0.02657,0.0267,0.02679,0.02687,0.027,0.02705,0.0271,0.02712,0.02719,0.02726,0.02731,0.02739,0.02746,0.02754,0.02759,0.02772,0.02779,0.02791,0.02798,0.02811,0.0282,0.02835,0.02844,0.02862,0.02876,0.02894,0.02914,0.02938,0.02964,0.02998,0.03026,0.03065,0.03114,0.03167,0.03202,0.02651,0.02172,0.01771,0.01412,0.01147,0.009031,0.007124,0.005478,0.004082,0.002971,0.002076,0.001257,0.0007326,0.0003204,5.938e-06,-0.0002495,-0.0004613,-0.0006117,-0.0007258,-0.0008083,-0.0008627,-0.0009101,-0.0009589,-0.0009011,-0.0009093,-0.000846,-0.0008133,-0.0007674,-0.0006644,-0.0006185,-0.0005844,-0.0005633,-0.000525,-0.0005375,-0.0005461,-0.0005565,-0.0005738,-0.0005923,-0.0006436,-0.0006658,-0.0008226,-0.0008255,-0.0008562,-0.0008693,-0.001,-0.001013,-0.001076,-0.001207,-0.001399,-0.001578,-0.001755,-0.002001,-0.002248,-0.00255,-0.002911,-0.003378,-0.003918,-0.004482,-0.005177,-0.006035
2,95,9505,25,20,0.0301,0.02845,0.0271,0.02604,0.025,0.0248,0.0244,0.02381,0.02374,0.02378,0.02387,0.02402,0.02441,0.02463,0.02484,0.02505,0.02528,0.02553,0.02575,0.02601,0.02626,0.02656,0.02682,0.027,0.02734,0.02758,0.02785,0.02814,0.02837,0.02868,0.02903,0.0294,0.02985,0.03037,0.03089,0.03164,0.03247,0.03342,0.03449,0.03567,0.0369,0.03814,0.03944,0.04069,0.04184,0.04298,0.04398,0.0449,0.04578,0.04657,0.04736,0.0481,0.04884,0.04958,0.05026,0.05102,0.05178,0.05251,0.05348,0.05452,0.05568,0.03204,0.02647,0.0217,0.01766,0.01407,0.01139,0.008945,0.007025,0.005365,0.003933,0.00281,0.001886,0.001037,0.0004669,1.8e-05,-0.0003399,-0.0006556,-0.0009052,-0.001112,-0.001286,-0.001437,-0.001586,-0.001693,-0.0018,-0.001915,-0.002026,-0.002191,-0.00233,-0.002499,-0.002765,-0.003018,-0.003357,-0.003784,-0.004215,-0.004713,-0.005253,-0.005678,-0.006234,-0.00669,-0.007081,-0.007341,-0.007622,-0.007658,-0.007601,-0.007456,-0.007309,-0.00715,-0.007039,-0.007023,-0.007069,-0.007237,-0.007505,-0.007895,-0.00846,-0.009252,-0.01025,-0.01158,-0.01331,-0.01553,-0.01838,-0.02165
2,95,9505,25,50,0.02972,0.02809,0.02673,0.02566,0.02459,0.02437,0.02397,0.02337,0.02328,0.02333,0.0234,0.02353,0.0239,0.0241,0.02428,0.02444,0.02462,0.02482,0.02499,0.02518,0.02537,0.0256,0.02578,0.02598,0.02613,0.02632,0.02645,0.02657,0.0267,0.02679,0.02687,0.027,0.02705,0.0271,0.02712,0.02719,0.02726,0.02731,0.02739,0.02746,0.02754,0.02759,0.02772,0.02779,0.02791,0.02798,0.02811,0.0282,0.02835,0.02844,0.02862,0.02876,0.02894,0.02914,0.02938,0.02964,0.02998,0.03026,0.03065,0.03114,0.03167,0.03202,0.02651,0.02172,0.01771,0.01412,0.01147,0.009031,0.007124,0.005478,0.004082,0.002971,0.002076,0.001257,0.0007326,0.0003204,5.938e-06,-0.0002495,-0.0004613,-0.0006117,-0.0007258,-0.0008083,-0.0008627,-0.0009101,-0.0009589,-0.0009011,-0.0009093,-0.000846,-0.0008133,-0.0007674,-0.0006644,-0.0006185,-0.0005844,-0.0005633,-0.000525,-0.0005375,-0.0005461,-0.0005565,-0.0005738,-0.0005923,-0.0006436,-0.0006658,-0.0008226,-0.0008255,-0.0008562,-0.0008693,-0.001,-0.001013,-0.001076,-0.001207,-0.001399,-0.001578,-0.001755,-0.002001,-0.002248,-0.00255,-0.002911,-0.003378,-0.003918,-0.004482,-0.005177,-0.006035
2,95,9505,25,70,0.02972,0.02804,0.02668,0.02555,0.02453,0.02431,0.0239,0.02331,0.02322,0.02327,0.02334,0.02346,0.02382,0.02401,0.02419,0.02435,0.02453,0.02472,0.02488,0.02507,0.02526,0.02549,0.02568,0.02579,0.02604,0.02619,0.02633,0.02646,0.0266,0.02672,0.02678,0.02685,0.0269,0.02698,0.02703,0.02711,0.02718,0.02727,0.02742,0.02751,0.02755,0.02767,0.02782,0.02796,0.0281,0.02825,0.02839,0.02857,0.02879,0.02896,0.02922,0.02947,0.02979,0.03005,0.03041,0.03085,0.03123,0.03167,0.03225,0.03285,0.03353,0.03203,0.0265,0.02171,0.01774,0.01412,0.01146,0.009034,0.007138,0.005478,0.004099,0.002991,0.002097,0.001277,0.0007573,0.0003541,3.409e-05,-0.0002317,-0.0004371,-0.0005919,-0.0007088,-0.0007972,-0.0008713,-0.0008867,-0.0008923,-0.0009265,-0.0009079,-0.0008859,-0.000833,-0.0007547,-0.0007333,-0.0007129,-0.0006561,-0.0006704,-0.0006408,-0.0006342,-0.000653,-0.0006579,-0.00072,-0.0007264,-0.0008105,-0.0009087,-0.001091,-0.001137,-0.001185,-0.001268,-0.001388,-0.001526,-0.001655,-0.001854,-0.002028,-0.002283,-0.002529,-0.002832,-0.003188,-0.003584,-0.004047,-0.004553,-0.005196,-0.005912,-0.00678,-0.007817
2,95,9505,25,95,0.02977,0.02806,0.02673,0.02557,0.02455,0.02431,0.02391,0.0233,0.02322,0.02327,0.02333,0.02346,0.02383,0.02402,0.0242,0.02437,0.02455,0.02473,0.0249,0.02509,0.02528,0.02552,0.02571,0.0258,0.02608,0.0263,0.02654,0.02675,0.02704,0.02737,0.02774,0.02808,0.02851,0.02887,0.02922,0.02954,0.02982,0.03012,0.0303,0.03054,0.03074,0.03088,0.03107,0.03119,0.03137,0.03154,0.03169,0.03186,0.03205,0.03223,0.03246,0.03269,0.03294,0.03329,0.03357,0.03396,0.03437,0.03483,0.03532,0.03587,0.03649,0.03193,0.02649,0.0217,0.0177,0.0141,0.01145,0.009027,0.007106,0.005459,0.004068,0.002951,0.002061,0.001239,0.000708,0.0002953,-4.147e-05,-0.000314,-0.0005348,-0.0007079,-0.0008576,-0.000982,-0.001077,-0.001192,-0.00131,-0.001403,-0.00152,-0.001622,-0.001751,-0.001879,-0.001995,-0.002039,-0.002139,-0.00217,-0.002075,-0.002026,-0.001938,-0.001823,-0.001711,-0.001665,-0.001629,-0.001473,-0.001516,-0.00154,-0.001461,-0.001472,-0.001486,-0.001535,-0.001626,-0.001745,-0.001858,-0.002068,-0.002204,-0.002448,-0.002702,-0.002986,-0.003318,-0.003709,-0.004087,-0.004513,-0.005057,-0.005692
